level,word,part_of_speech,definition,synonyms,more_synonyms
18,infatuate,,Synonyms:,"More Synonyms: attract, make insane, captivate, captivate, focus, beloved","attract, make insane, captivate, captivate, focus, beloved"
18,infighting,,Synonyms:,More Synonyms: conflict,conflict
18,inflammable,adj,easily ignited,"flammable, inflammable","burnable, explodable, emotional, burnable, fiery"
18,inimical,adj,not friendly,"unfriendly, inimical",
18,inoffensive,adj,not causing anger or annoyance,"inoffensive, unoffending","harmless, nice, naive, harmless, socially acceptable, dependable"
18,insensible,adj,incapable of physical sensation,insensible,"disinterested, unfeeling, insensitive, unconscious, vulgar, dull"
18,insincere,adj,lacking sincerity,insincere,"dishonest, changed, pretended, fake and insincere tears, have love affair, dishonest"
18,insipid,adj,lacking taste or flavor or tang,"bland, flat, flavorless, flavourless, insipid, savorless, savourless, vapid","dull, tasteless, unprofessional, uninterested, commonplace, tasteless"
18,insolence,n,the trait of being rude and impertinent; inclined to take liberties,"crust, gall, impertinence, impudence, insolence, cheekiness, freshness","boldness, ego, arrogance, arrogance, rude answer, impulsiveness"
18,insubordination,n,defiance of authority,insubordination,"disobedience, disobedience, misbehavior, boldness, naughtiness, defiance"
18,insubstantial,adj,lacking material form or substance; unreal,"insubstantial, unsubstantial, unreal","weak, deteriorated, evasive, delicate, not strong, finespun"
18,insufferable,adj,used of persons or their behavior,"impossible, insufferable, unacceptable, unsufferable","horrible, very bad, painful, offensive, unacceptable, unpleasant"
18,interloper,n,someone who intrudes on the privacy or property of another without permission,"intruder, interloper, trespasser","intruder, foreigner, trespasser, foreigner, alien"
18,intone,v,utter monotonously and repetitively and rhythmically,"tone, chant, intone","sing, draw out, purr, speak, carry tune, say words"
18,invective,n,abusive or venomous language used to express blame or censure or bitter deep-seated ill will,"vituperation, invective, vitriol","abuse, belittlement, mean, bad language, criticism, abuse"
18,inviolable,adj,incapable of being transgressed or dishonored,inviolable,"sanctified, holy, dense, absolute, indestructible, protected"
18,irrepressible,adj,impossible to repress or control,"irrepressible, uncontrollable","effervescent, enthusiastic, enthusiastic, pliant, upset, temperamental"
18,jaunty,adj,marked by up-to-dateness in dress and manners,"dapper, dashing, jaunty, natty, raffish, rakish, spiffy, snappy, spruce","lively, buoyant, happy, light-hearted, happy, lighthearted"
18,jubilant,adj,joyful and proud especially because of triumph or success,"exultant, exulting, jubilant, prideful, rejoicing, triumphal, triumphant","happy, happy, very happy, be joyful, very happy, celebratory"
18,jubilation,n,a feeling of extreme joy,"exultation, jubilance, jubilancy, jubilation","approval, commemoration, happiness, happiness, joy, celebration"
18,labyrinthine,adj,relating to or affecting or originating in the inner ear,labyrinthine,"mazelike, indirect, intricate, perplexing, complex, complicated"
18,laconic,adj,brief and to the point; effectively cut short,"crisp, curt, laconic, terse","short, abrupt, short, brief, abridged, short"
18,laggard,n,someone who takes more time than necessary; someone who lags behind,"dawdler, drone, laggard, lagger, trailer, poke","straggler, late, procrastinating, lazy person, inactive, casual"
18,lamentable,adj,bad; unfortunate,"deplorable, distressing, lamentable, pitiful, sad, sorry","miserable, disastrous, unfortunate, terrible, depressing, miserable"
18,languid,adj,lacking spirit or liveliness,"dreamy, lackadaisical, languid, languorous","dull, disinterested, unfeeling, limp, sleepy, placid"
18,largess,n,a gift or money given (as for service or out of benevolence); usually given ostentatiously,"largess, largesse","generosity, advantage, bonus, gift, gift, approval"
18,largess,,Synonyms:,"More Synonyms: generosity, advantage, bonus, gift, gift, approval","generosity, advantage, bonus, gift, gift, approval"
18,leery,adj,openly distrustful and unwilling to confide,"leery, mistrustful, suspicious, untrusting, wary","suspicious, tricky, cautious, careful, careful, suspicious"
18,leniency,n,mercifulness as a consequence of being lenient or tolerant,"lenience, leniency, mildness, lenity","forgiveness, forgiveness, gratification, kindness, endurance, forgiveness"
18,lethargic,adj,deficient in alertness or activity,"lethargic, unenrgetic","lazy, unconscious, stupid, stupid, sleeping, sleepy"
18,levity,n,feeling an inappropriate lack of seriousness,levity,
18,licentious,adj,lacking moral discipline; especially sexually unrestrained,licentious,"immoral, bad, vulgar, erotic, corrupted, immoral"
18,limber,v,attach the limber,"limber, limber up","flexible, nimble, pliant, train, bendable, charming"
18,lithe,adj,moving and bending with ease,"lissome, lissom, lithe, lithesome, slender, supple, svelte, sylphlike","flexible, nimble, pliant, bendable, charming, unheavy"
18,litigious,adj,of or relating to litigation,litigious,"quarrelsome, quarrelsome, at issue, argumentative, conflicting, disagreeable"
18,loll,v,hang loosely or laxly,"droop, loll","sprawl, sun, delay, hang down, suspend, be flat"
18,lout,n,an awkward stupid person,"lout, clod, stumblebum, goon, oaf, lubber, lummox, lump, gawk","boor, savage, clod, barbarian, lout, stupid"
18,luxuriant,adj,marked by complexity and richness of detail,"elaborate, luxuriant","profuse, plentiful, abundant, shaggy, abundant, superior"
18,magnanimous,adj,noble and generous in spirit,"greathearted, magnanimous","giving, unselfish, recognizing, kind, generous, abundant"
18,malfeasance,n,wrongful conduct by a public official,malfeasance,"dishonesty, offense, blame, blame, bias, evil"
18,maniacal,adj,wildly disordered,"maniacal, maniac",
18,martinet,n,someone who demands exact conformity to rules and forms,"martinet, disciplinarian, moralist","disciplinarian, ruler, enforcer, tyrant, dictator"
18,matriarch,n,a female head of a family or tribe,"matriarch, materfamilias","ruler, family predecessor, woman, mother, female"
18,maudlin,adj,effusively or insincerely emotional,"bathetic, drippy, hokey, maudlin, mawkish, kitschy, mushy, schmaltzy, schmalzy, sentimental, soppy, soupy, slushy","overemotional, sentimental, romantic, sentimental, foolish, emotional"
18,melodious,adj,having a musical sound; especially a pleasing tune,"tuneful, melodious","harmonious, pleasing to the ear, friendly, musical, musical, mature"
18,membranous,,Synonyms:,More Synonyms: blurry,blurry
18,menial,adj,used of unskilled work (especially domestic work),"humble, menial, lowly","lowly, vulgar, slave, work, poor, lowly"
18,merriment,n,a gay feeling,"gaiety, merriment","amusement, entertaining, commemoration, happiness, amusement, celebration"
18,metaphoric,,Synonyms:,"More Synonyms: figurative, symbolic, explanatory","figurative, symbolic, explanatory"
18,miff,,Synonyms:,"More Synonyms: annoy, upset, madden, irritate, debate, argument","annoy, upset, madden, irritate, debate, argument"
18,mimicry,,,,
18,misanthrope,n,someone who dislikes people in general,"misanthrope, misanthropist","hater, nonbeliever, loner, hoarder, woman-hater, pessimist"
18,misconstrue,v,interpret in the wrong way,"misconstrue, misinterpret, misconceive, misunderstand, misapprehend, be amiss","pervert, blunder, falsify, slip up, err, err"
18,miscreant,n,a person without moral scruples,"reprobate, miscreant","evil, evildoer, bad person, vicious, guilty party, corrupt"
18,modicum,n,a small or moderate or token amount,modicum,"bit, particle, piece, allocation, seed, bit"
18,morass,n,a soft wet area of low-lying land that sinks underfoot,"mire, quagmire, quag, morass, slack","mess, swamp, stalemate, wilderness, maze, swamp"
18,moribund,adj,not growing or changing; without force or vitality,"stagnant, moribund","dying, self-indulgent, failing, endure, shabby; stale"
18,morose,adj,showing a brooding ill humor,"dark, dour, glowering, glum, moody, morose, saturnine, sour, sullen","pessimistic, hostile, crabby, crude, in a bad mood, irritable"
18,musculature,n,the muscular system of an organism,"muscular structure, musculature, muscle system",clasp
18,naivete,n,lack of sophistication or worldliness,"naivete, naivety, naiveness",
18,naivete,,,,
18,naysayer,,Synonyms:,More Synonyms: pessimist,pessimist
18,nebulous,adj,lacking definite form or limits,"cloudy, nebulose, nebulous","confused, unshaped, haz, not light, hazy, disorganized"
18,neologism,n,a newly invented word or phrase,"neologism, neology, coinage","new word, dialect, invented word, dialect"
18,nepotism,n,favoritism shown to relatives or close friends by those in power (as by giving them jobs),nepotism,"favoritism, dishonesty, bias"
18,nicety,n,conformity with some esthetic standard of correctness or propriety,"justness, rightness, nicety","fine point, carefulness, formality, feature, differentiation, beauty"
18,nihilist,n,someone who rejects all theories of morality or religious belief,nihilist,"insurgent, revolutionary, malcontent, unbeliever"
18,nonchalant,adj,marked by blithe unconcern,"casual, insouciant, nonchalant","easygoing, buoyant, inattentive, artless, composed, calm"
18,nonconformity,n,lack of harmony or correspondence,nonconformity,"dissent, difference, distinctness, disagreement, difference, bizarreness"
18,nondescript,adj,lacking distinct or individual characteristics; dull and uninteresting,"characterless, nondescript",
18,obsequious,adj,attempting to win favor from influential people by flattery,"bootlicking, fawning, obsequious, sycophantic, toadyish","fawning, contented, respectful, ingratiate, deferential, meek"
18,obtrusive,adj,undesirably noticeable,"obtrusive, noticeable","pushy, obvious, deafening, vulgar, nosy, adventurous"
18,offhand,adv,without previous thought or preparation,"offhand, offhanded, offhandedly","careless, extemporaneous, at one's pleasure, chance, nonchalant, nonchalant"
18,opalescent,adj,having a play of lustrous rainbow colors,"iridescent, nacreous, opalescent, opaline, pearlescent","blurry, rainbow-colored, cloudy"
18,ostentatious,adj,intended to attract notice and impress others,"ostentatious, pretentious","flashy, changed, obvious, pompous, contemporary, intricate"
18,ostracize,v,expel from a community or group,"banish, ban, ostracize, ostracise, shun, cast out, blackball","banish, expel, prohibit, expel from group, ban, ban"
18,outmoded,v,"make unfashionable, outdated, or obsolete",outmode,"obsolete, old, obsolete, old, out-of-date, old-fashioned"
18,overemphasize,v,place special or excessive emphasis on,"overemphasize, overemphasise, overstress","exaggerate, overstate, exaggerate, dramatize, exaggerate"
18,pallid,adj,abnormally deficient in color as suggesting physical or emotional distress,"pale, pallid, wan","pale, pale, gray, pale, corpselike, ghastly"
18,parsimony,n,extreme care in spending money; reluctance to spend money unnecessarily,,
18,pedant,n,a person who pays more attention to formal rules and book learning than they merit,"pedant, bookworm, scholastic",
18,pejorative,adj,expressing disapproval,"dyslogistic, dislogistic, pejorative","belittling, belittlement, detrimental, derogatory, hateful"
18,penitent,n,(Roman Catholic Church) a person who repents for wrongdoing (a Roman Catholic may be admitted to penance under the direction of a confessor),penitent,"shamed, remorseful, regretting, regretful, forgiven child, sorry"
18,perfidy,n,betrayal of a trust,"perfidy, perfidiousness, treachery","disloyalty, collusion, abandonment, lying, unfaithfulness, betrayal"
18,perfunctory,adj,hasty and without attention to detail; not thorough,"casual, cursory, passing, perfunctory","automatic, habitual, inattentive, nonchalant, casual, uninvolved"
18,personification,n,a person who represents an abstract quality,personification,"portrayal, representation, playacting, example, exaggeration, comparison"
18,petulant,adj,easily irritated or annoyed,"cranky, fractious, irritable, nettlesome, peevish, peckish, pettish, petulant, scratchy, testy, tetchy, techy","moody, nastiness, crabby, critical, quarrelsome, in a bad mood"
18,phobic,adj,suffering from irrational fears,phobic,"fearful, alarmed"
18,piebald,,,,
18,pilfer,v,make off with belongings of others,"pilfer, cabbage, purloin, pinch, abstract, snarf, swipe, hook, sneak, filch, nobble, lift","steal, steal, appropriate, cheat, steal, steal"
18,pittance,n,an inadequate payment,pittance,"rationing, small amount of money, small sum of money, allocation, gift, small amount"
18,placate,v,cause to be more favorably inclined; gain the good will of,"pacify, lenify, conciliate, assuage, appease, mollify, placate, gentle, gruntle","soothe, satisfy, settle, soothe, quiet, calm"
18,plaintive,adj,expressing sorrow,"mournful, plaintive","pathetic, discontented, depressing, miserable, crabby, miserable"
18,platitude,n,a trite or obvious remark,"platitude, cliche, banality, commonplace, bromide","triviality, saying, hypocrisy, overused, hackneyed phrase, phrase, clichÈ"
18,pliant,adj,capable of being influenced or formed,"plastic, pliant","alterable, submissive, flexible, bendable, influential, charming"
18,poignancy,n,a state of deeply felt distress or sorrow,"poignance, poignancy","sadness, unhappiness"
18,polemical,adj,of or involving dispute or controversy,"polemic, polemical","at issue, rational, argumentative, legal"
18,ponderous,adj,slow and laborious because of weight,"heavy, lumbering, ponderous","cumbersome, tedious, large, huge, awkward, awkward"
18,portend,v,indicate by signs,"bode, portend, auspicate, prognosticate, omen, presage, betoken, foreshadow, augur, foretell, prefigure, forecast, predict","foreshadow, predict, predict, estimate, predict, predict"
18,portent,n,a sign of something about to happen,"omen, portent, presage, prognostic, prognostication, prodigy","forewarning, miracle, omen, piece of advice, importance, misgiving"
18,postmodernist,adj,of or relating to postmodernism,"postmodernist, postmodern",
18,potentate,n,a ruler who is unconstrained by law,"dictator, potentate","monarch, royalty, ruler, master, owner, ruler"
18,praiseworthy,adj,worthy of high praise,"applaudable, commendable, laudable, praiseworthy","deserving, respected, worthy, honorable, ideal, impartial"
18,prattle,v,speak (about unimportant matters) rapidly and incessantly,"chatter, piffle, palaver, prate, tittle-tattle, twaddle, clack, maunder, prattle, blab, gibber, tattle, blabber, gabble","babble, chatting, chat, gossip, laugh, talk"
18,preachy,adj,inclined to or marked by tedious moralization,preachy,"educational, self-righteous, smug"
18,precis,v,make a summary (of),precis,"summary, epitomize, survey, outline of experience"
18,predilection,n,a predisposition in favor of something,"predilection, preference, orientation","inclination, fondness, inclination, outlook, talent, partiality"
18,preen,v,clean with one’s bill,"preen, plume","admire and clean oneself, brag, beautify, beautify, prepare, be proud"
18,prelate,n,a senior clergyman and dignitary,"archpriest, hierarch, high priest, prelate, primate",church head
18,premeditate,,Synonyms:,More Synonyms:,
18,prescient,adj,perceiving the significance of events before they occur,prescient,"intuitive, looking ahead wisely, perceptive, educated, foreboding, prophetic"
18,privation,n,a state of extreme poverty,"privation, want, deprivation, neediness","deprivation, lack, lack, failure, insufficiency, failure"
18,probity,n,complete and confirmed integrity; having strong moral principles,probity,"fairness, honesty, morality, decency, truthfulness, integrity"
18,proclivity,n,a natural inclination,"proclivity, propensity, leaning","inclination, taste, inclination, outlook, talent, partiality"
18,propagandist,n,a person who disseminates messages calculated to assist some cause or some government,propagandist,"provoker, preacher, advocate, person who delivers news, reporter, aide"
18,propound,v,"put forward, as of an idea",propound,"proclaim, make known, speak, present, offer, favor"
18,prosaic,adj,not fanciful or imaginative,"matter-of-fact, prosaic",
18,proselytize,v,convert to another faith or religion,"proselytize, proselytise","convert, espouse, convert, change belief, convince, gather"
18,prude,n,a person excessively concerned about propriety and decorum,"prude, puritan","prig, older unmarried woman"
18,putrid,adj,of or relating to or attended by putrefaction,putrid,"rotten, decayed, polluted, rotten, immoral, shameful"
18,quaff,v,to swallow hurriedly or greedily or in one draught,"gulp, quaff, swig","drink, make merry, remove, take in liquid, drink, drink"
18,queasy,adj,causing or able to cause nausea,"nauseating, nauseous, noisome, queasy, loathsome, offensive, sickening, vile","uncomfortable, hazardous, sickened, careful, sick, sick"
18,quixotic,adj,not sensible about practical matters; idealistic and unrealistic,"quixotic, romantic, wild-eyed","idealistic, valiant, unrealistic, deceptive, illusory, illusory state of happiness"
18,quizzical,adj,playfully vexing (especially by ridicule),"mocking, teasing, quizzical","curious, suspicious, amusing, bizarre, unbelieving, wondering"
18,raiment,v,provide with clothes or put clothes on,"dress, clothe, enclothe, garb, raiment, tog, garment, habilitate, fit out, apparel","clothing, clothing, cover, personal attire, attire, clothing"
18,rambunctious,adj,noisy and lacking in restraint or discipline,"boisterous, rambunctious, robustious, rumbustious, unruly","energetic, mischievous, noisy, loud, noisy, rowdy"
18,ramshackle,,,,
18,rancor,n,a feeling of deep and bitter anger and ill-will,"resentment, bitterness, gall, rancor, rancour","bitterness, sarcasm, belligerence, hatred, opposition, disgust"
18,ransack,v,steal goods; take as spoils,"plunder, despoil, loot, reave, strip, rifle, ransack, pillage, foray","ravage, search, dig, search, dig, strip"
18,rapt,v,strike sharply,"rap, knap","fascinated, captivated, thoughtful, engrossed, busy, captivate"
18,raspy,adj,unpleasantly harsh or grating in sound,"grating, gravelly, rasping, raspy, rough, scratchy","rough, loud"
18,recalcitrant,adj,stubbornly resistant to authority or control,"fractious, refractory, recalcitrant","disobedient, antagonistic, obstinate, disobedient, defiant, grouchy"
18,recant,v,"formally reject or disavow a formerly held belief, usually under pressure","abjure, recant, forswear, retract, resile","take back, give up, withdraw, withdraw, counterbalance, disagree"
18,recapitulate,v,summarize briefly,"recapitulate, recap","go over, inform, assemble, begin again, specify, count"
18,reclusive,adj,withdrawn from society; seeking solitude,"recluse, reclusive, withdrawn","unsociable, non-participating, secluded, reserved, forlorn, unsociable"
18,recommence,,,,
18,recrimination,n,mutual accusations,recrimination,"incrimination, condemnation"
18,redemptive,adj,of or relating to or resulting in redemption,"redemptive, redemptional, redemptory",offsetting
18,regale,v,provide with choice or abundant food or drink,"regale, treat","throw party, entertain, dinner, food, meal, amuse"
18,rejoinder,n,a quick reply to a question or remark (especially a witty or critical one),"rejoinder, retort, return, riposte, replication, comeback, counter","answer, reply, reply, rude answer, retort, explanation, response"
18,relinquishment,,Synonyms:,"More Synonyms: denial, abandonment, sacrifice, rejection, giving up, giving up","denial, abandonment, sacrifice, rejection, giving up, giving up"
18,remiss,adj,failing in what duty requires,"derelict, delinquent, neglectful, remiss","careless, late, inattentive, irresponsible, negligent, procrastinating"
18,renege,v,fail to fulfill a promise or obligation,"renege, renege on, renegue on, go back on","go back on one's word, give up, abolish, withdraw, withdraw, change mind"
18,repast,n,the food served and eaten at one time,"meal, repast","meal, dinner, meal, banquet, food, meal"
18,reproof,n,an act or expression of criticism and censure,"rebuke, reproof, reproval, reprehension, reprimand",
18,reprove,v,take to task,"admonish, reprove","rebuke, warn, assault verbally, criticize, accuse, condemn"
18,restive,adj,being in a tense state,"edgy, high-strung, highly strung, jittery, jumpy, nervy, overstrung, restive, uptight","impatient, antagonistic, anxious, nervous, restless, irregular"
18,retentive,adj,good at remembering,"retentive, recollective, long, tenacious","porous, strong, sticky"
18,reticence,n,the trait of being uncommunicative; not volunteering anything more than necessary,"reserve, reticence, taciturnity","restriction, shyness, coolness, concealment, willpower, stillness"
18,reticent,adj,temperamentally disinclined to talk,"reticent, untalkative","secretive, shy, secret, silent, aloof, reserved"
18,retrenchment,n,entrenchment consisting of an additional interior fortification to prolong the defense,retrenchment,"reduction, decline, lessening, finances, deficiency, conservativism"
18,revelry,n,unrestrained merrymaking,"revel, revelry","merrymaking, celebration, commemoration, self- indulgence, amusement, celebration"
18,revivalist,n,a preacher of the Christian gospel,"evangelist, revivalist, gospeler, gospeller","preacher, aide, churchman"
18,revulsion,n,intense aversion,"repugnance, repulsion, revulsion, horror",
18,ritualistic,adj,of or characterized by or adhering to ritualism,ritualistic,"ritual, established"
18,rivulet,n,a small stream,"rivulet, rill, run, runnel, streamlet","water, stream, stream, stream, waterway, river"
18,roil,v,be agitated,"churn, boil, moil, roil","make unhappy, upset, irritate, anger, upset, provoke"
18,rostrum,n,a platform raised above the surrounding level to give prominence to the person on it,"dais, podium, pulpit, rostrum, ambo, stump, soapbox","reading desk, furniture, structure from which speakers orate, structure from which sermon is given"
18,rudiment,,Synonyms:,"More Synonyms: belief, start, seed, necessity, basic, egg","belief, start, seed, necessity, basic, egg"
18,ruffian,n,a cruel and brutal fellow,"bully, tough, hooligan, ruffian, roughneck, rowdy, yob, yobo, yobbo","hoodlum, savage, barbarian, domineer, beast, criminal"
18,ruminate,v,chew the cuds,ruminate,"think about, grip, agonize, grind, think about, to ruminate"
18,sagacity,n,the mental ability to understand and discriminate between relations,"sagacity, sagaciousness, judgment, judgement, discernment","wisdom, intelligence, ingenuity, insight, caution, particularity"
18,salutary,adj,tending to promote physical well-being; beneficial to health,"good, salutary","healthy, digestive, advantageous, advantageous, healing, useful"
18,sanctimonious,adj,excessively or hypocritically pious,"holier-than-thou, pietistic, pietistical, pharisaic, pharisaical, sanctimonious, self-righteous","self-righteous, sickening, self-righteously pious, deceitful, irreligious, dedicated"
18,satiate,v,fill to satisfaction,"satiate, sate, replete, fill","satisfy, overfill, fill, put in, satiated, oversupply"
18,satirize,v,ridicule with satire,"satirize, satirise, lampoon","ridicule, tease, ridicule, criticize, poke fun at, mimic"
18,saunter,v,walk leisurely and with no apparent aim,"stroll, saunter","stroll, stroll, walk, walk, delay, move aimlessly"
18,scad,,Synonyms:,More Synonyms: accumulation,accumulation
18,scurvy,n,a condition caused by deficiency of ascorbic acid (vitamin C),"scurvy, scorbutus","vulgar, shameful, hateful, obscene, dishonorable, vulgar"
18,servile,adj,submissive or fawning in attitude or behavior,servile,"groveling, hopeless, vulgar, ingratiate, deferential, meek"
18,sinuous,adj,curved or curving in and out,"sinuate, sinuous, wiggly","winding, curved, perplexing, bent, bowed, gushing"
18,skimp,v,work hastily or carelessly; deal with inadequately and superficially,"skimp, scant","be frugal, save, save, small, fail, be stingy"
18,skittish,adj,unpredictably excitable (especially of horses),"skittish, flighty, spooky, nervous","nervous, erratic, modest, flighty, nervous, scatterbrained"
18,skulk,v,"lie in wait, lie in ambush, behave in a sneaky and secretive manner","lurk, skulk","lurk; shirk, hide, hide, crawl, hide, slink"
18,slacken,v,become slow or slower,"slow, slow down, slow up, slack, slacken","do little or nothing; loosen, lessen, stick, stick; become stuck, stop, hinder"
18,solemnize,v,observe or perform with dignity or gravity,"solemnize, solemnise","commemorate, honor, conduct, commemorate, celebrate"
18,solicitous,adj,full of anxiety and concern,solicitous,"worried, worried, considerate, friendly, cautious, agreeable"
18,specious,adj,plausible but false,"specious, spurious","misleading, seeming, imitation, dishonest, deceptive, wrong"
18,sprightly,adj,full of spirit and vitality,sprightly,"fun, involved, nimble, buoyant, active, lively"
18,squalid,adj,morally degraded,"seamy, seedy, sleazy, sordid, squalid","poor, hopeless, vulgar, dirty, unclean, obscene"
18,squalor,n,sordid dirtiness,"sordidness, squalor, squalidness","filth, poverty, slum, pain, trouble, ghetto, bad habit"
18,squeamish,adj,excessively fastidious and easily disgusted,"dainty, nice, overnice, prissy, squeamish","nauseous, discriminating, sickened, careful, overparticular, meticulous"
18,staid,adj,characterized by dignity and propriety,"sedate, staid","restrained, calm, habitual, appropriate, reserved, serious"
18,stickler,n,someone who insists on something,stickler,"persecutor, enforcer, mystery, disciplinarian, secret, meticulous"
18,stilted,adj,artificially formal,"artificial, contrived, hokey, stilted","artificial, changed, tense, precise, affected, affected"
18,stratagem,n,a maneuver in a game or conversation,"ploy, gambit, stratagem","trick, hoax, deception, fabrication, achievement, deceit"
18,striated,v,mark with striae or striations,striate,empty
18,stupefy,v,make dull or stupid or muddle with drunkenness or infatuation,"besot, stupefy","amaze, shock, surprise, surprise, amaze, amaze, confuse"
18,stupor,n,the feeling of distress and disbelief that you have when something bad happens accidentally,"daze, shock, stupor","daze, induced sleep; induced absence of feeling, sleep, unconsciousness, confusion, depression"
18,subterfuge,n,something intended to misrepresent the true nature of an activity,"subterfuge, blind","hoax, boast, deception, deceit, trick, trick"
18,succor,n,assistance in time of difficulty,"relief, succor, succour, ministration","help, ease, help, calm, usefulness, assist"
18,swelter,v,be uncomfortably hot,swelter,"cook, warmth, warm, dampness, emit, sweat"
18,swill,v,feed pigs,"slop, swill","eat, drink, take in liquid, litter, drink, drink, drink"
18,swindler,n,a person who swindles you by means of deception or fraud,"swindler, defrauder, chiseller, chiseler, gouger, scammer, grifter","cheater, fooler, confidence man, confidence man, criminal, deceiver"
18,sycophant,n,a person who tries to please someone in order to gain a personal advantage,"sycophant, toady, crawler, lackey, ass-kisser","caterer, yes person, deferential, complimenter, believer, follower"
18,syncopate,,Synonyms:,"More Synonyms: condense, condense","condense, condense"
18,tawdry,adj,tastelessly showy,"brassy, cheap, flash, flashy, garish, gaudy, gimcrack, loud, meretricious, tacky, tatty, tawdry, trashy","cheap, brash, inferior, vulgar, flamboyant, flashy"
18,tedium,n,the feeling of being bored by something tedious,"boredom, ennui, tedium","dullness, disinterest, depression, boredom, depression, sameness"
18,temperamental,adj,relating to or caused by temperament,temperamental,"angry, changeable, arrogant, passionate, emotional, vacillating"
18,tenable,adj,based on sound reasoning or evidence,"tenable, well-founded","reasonable, trustworthy, believable, justifiable, allowable, reasonable"
18,testy,adj,easily irritated or annoyed,"cranky, fractious, irritable, nettlesome, peevish, peckish, pettish, petulant, scratchy, testy, tetchy, techy","irritable, nastiness, crabby, critical, quarrelsome, in a bad mood"
18,toady,v,try to gain favor by cringing or flattering,"fawn, toady, truckle, bootlick, kowtow, kotow, suck up",
18,tortuous,adj,highly complex or intricate and occasionally devious,"Byzantine, convoluted, involved, knotty, tangled, tortuous","twisted, complicated, indirect, intricate, perplexing, complicated"
18,transmute,v,change in outward structure or looks,"transform, transmute, metamorphose","change, differ, trade, alter, convert, alter"
18,treacle,n,a pale cane syrup,"treacle, golden syrup",
18,trenchant,adj,"having keenness and forcefulness and penetration in thought, expression, or intellect","searching, trenchant","sarcastic, hateful, nasty, nastiness, sarcastic, straightforward"
18,truism,n,an obvious truth,truism,"saying, principle, saying, overused, hackneyed phrase, phrase, clichÈ"
18,turbid,adj,(of liquids) clouded as with sediment,"cloudy, muddy, mirky, murky, turbid","confused, cloudy, obscure, clouded, chaotic, wild, concentrated"
18,turpitude,n,a corrupt or depraved or degenerate act or practice,"depravity, turpitude","depravity, baseness, shame, horribleness, immorality, embarrassment"
18,tussle,v,fight or struggle in a confused way at close quarters,"scuffle, tussle","struggle, struggle, fight, fight, challenge, manage"
18,unassailable,adj,immune to attack; incapable of being tampered with,"impregnable, inviolable, secure, strong, unassailable, unattackable",
18,uncouth,adj,lacking refinement or cultivation or taste,"coarse, common, rough-cut, uncouth, vulgar","clumsy, clumsy, savage, savage, crude, crude"
18,unimpressive,adj,not capable of impressing,unimpressive,ordinary
18,unkempt,adj,not neatly combed,unkempt,"shabby, shaggy, falling apart, unclean, wrinkled, messy"
18,unoriginal,,Synonyms:,"More Synonyms: commonplace, borrowed, cliched, simulated, obsolete, out- of-date","commonplace, borrowed, cliched, simulated, obsolete, out- of-date"
18,unpalatable,adj,not pleasant or acceptable to the taste or mind,unpalatable,"painful, disgusting, unpleasant, dull, upsetting, tasteless"
18,unpretentious,adj,lacking pretension or affectation,unpretentious,"simple, simple, good-humored, informal, simple, ordinary, meek"
18,unrequited,adj,not returned in kind,"unanswered, unreciprocated, unrequited",unappreciated
18,unseemly,adj,not in keeping with accepted standards of what is right or proper in polite society,"indecent, indecorous, unbecoming, uncomely, unseemly, untoward","improper, distorted, old-fashioned, humiliating, unreasonable, vulgar"
18,untried,adj,not tried or tested by experience,"unseasoned, untested, untried, young","immature, inexperienced, unskilled, earliest, recent, new"
18,untrustworthy,adj,not worthy of trust or belief,"untrustworthy, untrusty","devious, bad person, dishonest, dishonest, negligent, lying"
18,unyielding,adj,stubbornly unyielding,"dogged, dour, persistent, pertinacious, tenacious, unyielding","steadfast, domineering, incessant, hardened, obstinate, strong-willed"
18,urbane,adj,showing a high degree of refinement and the assurance that comes from wide social experience,"polished, refined, svelte, urbane","civilized, friendly, friendly, kind, polished, worldly-wise"
18,vacuous,adj,devoid of intelligence,"asinine, fatuous, inane, mindless, vacuous","empty, deficient, empty, clear, expressionless, unhindered"
18,vapid,adj,lacking taste or flavor or tang,"bland, flat, flavorless, flavourless, insipid, savorless, savourless, vapid","dull, uninterested, commonplace, unprofitable, tasteless, uninteresting"
18,vexation,n,anger produced by some annoying irritation,"annoyance, chafe, vexation","insult, annoyance, upset, trouble, concern, displeasure"
18,vicissitude,,Synonyms:,"More Synonyms: change, alteration, burden, hardship, crisis, difficulty; demand","change, alteration, burden, hardship, crisis, difficulty; demand"
18,virile,adj,characterized by energy and vigor,virile,"potent, ready, powerful, purebred; strong, attractive, masculine"
18,virtuosity,n,technical skill or fluency or style exhibited by a virtuoso,virtuosity,"skill, creativity, vigor, expertise, ability"
18,vitiate,v,corrupt morally or by intemperance or sensuality,,
18,vociferous,adj,conspicuously and offensively loud; given to vehement outcry,"blatant, clamant, clamorous, strident, vociferous","loud, deafening, mischievous, very loud, noisy, loud-voiced"
18,waif,n,a homeless child especially one forsaken or orphaned,"waif, street child","orphan, escapee, waif, social outcast, poor person, brat"
18,welter,n,a confused multitude of things,"clutter, jumble, muddle, fuddle, mare’s nest, welter, smother","glory, clamor, dive, rock, dehydrate, slosh in"
18,wend,v,direct one’s course or way,wend,"sail, advance, travel, elapse, carry out, leave"
