level,word,part_of_speech,definition,synonyms,more_synonyms,mnemonic,context_sentence,story_builder
17,nauseate,v,upset and make nauseated,"sicken, nauseate, turn one’s stomach","disgust, overfill, bother, repel, choke, dislike",🔑 Remember: 'nauseate' sounds like 'nau' and means upset and make nauseated.,Every day we can 'nauseate' when we upset and make nauseated.,"Tom found a magic box that could ___ when he upset and make nauseated. Choices: [nauseate, dance, eat]"
17,nefarious,adj,extremely wicked,"nefarious, villainous","sinful, outrageous, evil, dishonest, vicious, lawless",🔑 Remember: 'nefarious' sounds like 'nef' and means extremely wicked.,My dog is 'nefarious' because it is extremely wicked.,"During the big game, the team had to ___ if they wanted to extremely wicked. Choices: [nefarious, run, jump]"
17,neophyte,n,a plant that is found in an area where it had not been recorded previously,neophyte,"beginner, learner, learner, unskilled, believer, competitor",🔑 Remember: 'neophyte' sounds like 'neo' and means a plant that is found in an area where it had not been recorded previously.,"The word 'neophyte' is a thing, it means a plant that is found in an area where it had not been recorded previously.","In the middle of the forest, animals love to ___ because they a plant that is found in an area where it had not been recorded previously. Choices: [neophyte, hide, sing]"
17,nihilism,n,a revolutionary doctrine that advocates destruction of the social system for its own sake,nihilism,"refusal, lawlessness, disbelief, doubt",🔑 Remember: 'nihilism' sounds like 'nih' and means a revolutionary doctrine that advocates destruction of the social system for its own sake.,"The word 'nihilism' is a thing, it means a revolutionary doctrine that advocates destruction of the social system for its own sake.","Sara’s teacher asked the class to ___ to show they could a revolutionary doctrine that advocates destruction of the social system for its own sake. Choices: [nihilism, draw, play]"
17,notoriety,n,the state of being known for some unfavorable act or quality,"notoriety, ill fame","reputation, fame, shame, celebrity, shame, authority",🔑 Remember: 'notoriety' sounds like 'not' and means the state of being known for some unfavorable act or quality.,"The word 'notoriety' is a thing, it means the state of being known for some unfavorable act or quality.","In the middle of the forest, animals love to ___ because they the state of being known for some unfavorable act or quality. Choices: [notoriety, hide, sing]"
17,nub,n,a small lump or protuberance,,,🔑 Remember: 'nub' sounds like 'nub' and means a small lump or protuberance.,"The word 'nub' is a thing, it means a small lump or protuberance.","On a rainy day, Mia decided to ___ while she a small lump or protuberance. Choices: [nub, sleep, laugh]"
17,nuptial,adj,of or relating to a wedding,"bridal, nuptial, spousal","marriage, marital, marital, marital, marriage, married",🔑 Remember: 'nuptial' sounds like 'nup' and means of or relating to a wedding.,My dog is 'nuptial' because it is of or relating to a wedding.,"In the middle of the forest, animals love to ___ because they of or relating to a wedding. Choices: [nuptial, hide, sing]"
17,oaf,n,an awkward stupid person,"lout, clod, stumblebum, goon, oaf, lubber, lummox, lump, gawk","brute, clod, blunderer, a clumsy person, stupid, stupid",🔑 Remember: 'oaf' sounds like 'oaf' and means an awkward stupid person.,"The word 'oaf' is a thing, it means an awkward stupid person.","In the middle of the forest, animals love to ___ because they an awkward stupid person. Choices: [oaf, hide, sing]"
17,obfuscate,v,make obscure or unclear,obfuscate,"confuse, cover, disguise, fog, shade, darken",🔑 Remember: 'obfuscate' sounds like 'obf' and means make obscure or unclear.,Every day we can 'obfuscate' when we make obscure or unclear.,"Tom found a magic box that could ___ when he make obscure or unclear. Choices: [obfuscate, dance, eat]"
17,obstinate,v,persist stubbornly,obstinate,"stubborn, uncooperative, prejudiced, crabby, incessant, moderate",🔑 Remember: 'obstinate' sounds like 'obs' and means persist stubbornly.,Every day we can 'obstinate' when we persist stubbornly.,"On a rainy day, Mia decided to ___ while she persist stubbornly. Choices: [obstinate, sleep, laugh]"
17,obtuse,adj,of an angle; between 90 and 180 degrees,obtuse,"stupid, blunt, dull, insensitive, stupid, unintelligent",🔑 Remember: 'obtuse' sounds like 'obt' and means of an angle; between 90 and 180 degrees.,My dog is 'obtuse' because it is of an angle; between 90 and 180 degrees.,"Tom found a magic box that could ___ when he of an angle; between 90 and 180 degrees. Choices: [obtuse, dance, eat]"
17,obviate,v,do away with,"obviate, rid of, eliminate","block, stay away, hinder, inhibit, forbid, prohibit",🔑 Remember: 'obviate' sounds like 'obv' and means do away with.,Every day we can 'obviate' when we do away with.,"Tom found a magic box that could ___ when he do away with. Choices: [obviate, dance, eat]"
17,occlude,,Synonyms:,"More Synonyms: block, obstruct, smother, block, obstruct, forbid","block, obstruct, smother, block, obstruct, forbid",🔑 Remember: 'occlude' sounds like 'occ' and means Synonyms:.,'occlude' means Synonyms:.,"During the big game, the team had to ___ if they wanted to Synonyms:. Choices: [occlude, run, jump]"
17,odious,adj,unequivocally detestable,"abominable, detestable, execrable, odious","hateful, awful, shameful, hateful, horrible, loathsome",🔑 Remember: 'odious' sounds like 'odi' and means unequivocally detestable.,My dog is 'odious' because it is unequivocally detestable.,"Sara’s teacher asked the class to ___ to show they could unequivocally detestable. Choices: [odious, draw, play]"
17,opportune,adj,suitable or at a time that is suitable or advantageous especially for a particular purpose,opportune,"advantageous, favorable, suitable, suitable, encouraging, useful",🔑 Remember: 'opportune' sounds like 'opp' and means suitable or at a time that is suitable or advantageous especially for a particular purpose.,My dog is 'opportune' because it is suitable or at a time that is suitable or advantageous especially for a particular purpose.,"Sara’s teacher asked the class to ___ to show they could suitable or at a time that is suitable or advantageous especially for a particular purpose. Choices: [opportune, draw, play]"
17,opportunist,n,a person who places expediency above principle,,,🔑 Remember: 'opportunist' sounds like 'opp' and means a person who places expediency above principle.,"The word 'opportunist' is a thing, it means a person who places expediency above principle.","Sara’s teacher asked the class to ___ to show they could a person who places expediency above principle. Choices: [opportunist, draw, play]"
17,opulence,n,wealth as evidenced by sumptuous living,"luxury, luxuriousness, opulence, sumptuousness","wealth, plentitude, wealth, ease, wealth, importance",🔑 Remember: 'opulence' sounds like 'opu' and means wealth as evidenced by sumptuous living.,"The word 'opulence' is a thing, it means wealth as evidenced by sumptuous living.","During the big game, the team had to ___ if they wanted to wealth as evidenced by sumptuous living. Choices: [opulence, run, jump]"
17,opulent,adj,rich and superior in quality,"deluxe, gilded, grand, luxurious, opulent, princely, sumptuous","rich, wealthy, priceless, superior, beautiful, profuse",🔑 Remember: 'opulent' sounds like 'opu' and means rich and superior in quality.,My dog is 'opulent' because it is rich and superior in quality.,"During the big game, the team had to ___ if they wanted to rich and superior in quality. Choices: [opulent, run, jump]"
17,oration,n,an instance of oratory,oration,"speech, speech, dialogue, wittiness, lecture, lesson",🔑 Remember: 'oration' sounds like 'ora' and means an instance of oratory.,"The word 'oration' is a thing, it means an instance of oratory.","On a rainy day, Mia decided to ___ while she an instance of oratory. Choices: [oration, sleep, laugh]"
17,orator,n,a person who delivers a speech or oration,"orator, speechmaker, rhetorician, public speaker, speechifier","speaker, office seeker, talker",🔑 Remember: 'orator' sounds like 'ora' and means a person who delivers a speech or oration.,"The word 'orator' is a thing, it means a person who delivers a speech or oration.","During the big game, the team had to ___ if they wanted to a person who delivers a speech or oration. Choices: [orator, run, jump]"
17,ornamentation,n,the state of being ornamented,ornamentation,"enhancing, furnishings, beautification, decorating, depiction, ornamental art",🔑 Remember: 'ornamentation' sounds like 'orn' and means the state of being ornamented.,"The word 'ornamentation' is a thing, it means the state of being ornamented.","During the big game, the team had to ___ if they wanted to the state of being ornamented. Choices: [ornamentation, run, jump]"
17,ornithology,n,the branch of zoology that studies birds,ornithology,,🔑 Remember: 'ornithology' sounds like 'orn' and means the branch of zoology that studies birds.,"The word 'ornithology' is a thing, it means the branch of zoology that studies birds.","Tom found a magic box that could ___ when he the branch of zoology that studies birds. Choices: [ornithology, dance, eat]"
17,outgrowth,n,a natural consequence of development,"outgrowth, branch, offshoot, offset","projection, consequence, swelling, side product, result, product",🔑 Remember: 'outgrowth' sounds like 'out' and means a natural consequence of development.,"The word 'outgrowth' is a thing, it means a natural consequence of development.","On a snowy day, Mia decided to ___ while she a natural consequence of development. Choices: [outgrowth, sleep, laugh]"
17,outlandish,adj,conspicuously or grossly unconventional or unusual,"bizarre, eccentric, freakish, freaky, flaky, flakey, gonzo, off-the- wall, outlandish, outre","bizarre, wild, bizarre, mysterious, strange, alien",🔑 Remember: 'outlandish' sounds like 'out' and means conspicuously or grossly unconventional or unusual.,My dog is 'outlandish' because it is conspicuously or grossly unconventional or unusual.,"Tom found a magic box that could ___ when he conspicuously or grossly unconventional or unusual. Choices: [outlandish, dance, eat]"
17,outstrip,v,be or do something to a greater degree,"surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform","defeat, defeat, improve, better, outdo, dissociate",🔑 Remember: 'outstrip' sounds like 'out' and means be or do something to a greater degree.,Every day we can 'outstrip' when we be or do something to a greater degree.,"In the middle of the forest, animals love to ___ because they be or do something to a greater degree. Choices: [outstrip, hide, sing]"
17,outwit,,,,,🔑 Remember: 'outwit' sounds like 'out' and means nan.,'outwit' means nan.,"Tom found a magic box that could ___ when he nan. Choices: [outwit, dance, eat]"
17,overbear,,Synonyms:,"More Synonyms: castigate, intimidate, govern, oppress, be proud","castigate, intimidate, govern, oppress, be proud",🔑 Remember: 'overbear' sounds like 'ove' and means Synonyms:.,'overbear' means Synonyms:.,"In the middle of the forest, animals love to ___ because they Synonyms:. Choices: [overbear, hide, sing]"
17,overbear,,Synonyms:,"More Synonyms: castigate, intimidate, govern, oppress, be proud","castigate, intimidate, govern, oppress, be proud",🔑 Remember: 'overbear' sounds like 'ove' and means Synonyms:.,'overbear' means Synonyms:.,"In the middle of the forest, animals love to ___ because they Synonyms:. Choices: [overbear, hide, sing]"
17,overjoy,,Synonyms:,"More Synonyms: make happy, enchant","make happy, enchant",🔑 Remember: 'overjoy' sounds like 'ove' and means Synonyms:.,'overjoy' means Synonyms:.,"Tom found a magic box that could ___ when he Synonyms:. Choices: [overjoy, dance, eat]"
17,pacify,v,cause to be more favorably inclined; gain the good will of,"pacify, lenify, conciliate, assuage, appease, mollify, placate, gentle, gruntle","appease, reduce, relieve, satisfy, soothe, quiet",🔑 Remember: 'pacify' sounds like 'pac' and means cause to be more favorably inclined; gain the good will of.,Every day we can 'pacify' when we cause to be more favorably inclined; gain the good will of.,"On a snowy day, Mia decided to ___ while she cause to be more favorably inclined; gain the good will of. Choices: [pacify, sleep, laugh]"
17,palatable,adj,acceptable to the taste or mind,"palatable, toothsome","delicious, good-tasting, delicate, delicious, pleasing, apparent",🔑 Remember: 'palatable' sounds like 'pal' and means acceptable to the taste or mind.,My dog is 'palatable' because it is acceptable to the taste or mind.,"Tom found a magic box that could ___ when he acceptable to the taste or mind. Choices: [palatable, dance, eat]"
17,paltry,adj,not worth considering,"negligible, paltry, trifling","worthless, vulgar, inferior, small amount of money, small sum of money, shameful",🔑 Remember: 'paltry' sounds like 'pal' and means not worth considering.,My dog is 'paltry' because it is not worth considering.,"On a rainy day, Mia decided to ___ while she not worth considering. Choices: [paltry, sleep, laugh]"
17,parch,v,cause to wither or parch from exposure to heat,"parch, sear","dry, fire, prepare food, dry, dry, sponge",🔑 Remember: 'parch' sounds like 'par' and means cause to wither or parch from exposure to heat.,Every day we can 'parch' when we cause to wither or parch from exposure to heat.,"Sara’s teacher asked the class to ___ to show they could cause to wither or parch from exposure to heat. Choices: [parch, draw, play]"
17,particularity,n,the quality of being particular and pertaining to a specific case or instance,"particularity, specialness","feature, carefulness, feature, distinctness, differentiation, characteristic",🔑 Remember: 'particularity' sounds like 'par' and means the quality of being particular and pertaining to a specific case or instance.,"The word 'particularity' is a thing, it means the quality of being particular and pertaining to a specific case or instance.","On a sunny day, Mia decided to ___ while she the quality of being particular and pertaining to a specific case or instance. Choices: [particularity, sleep, laugh]"
17,pathos,n,a quality that arouses emotions (especially pity or sorrow),"pathos, poignancy",,🔑 Remember: 'pathos' sounds like 'pat' and means a quality that arouses emotions (especially pity or sorrow).,"The word 'pathos' is a thing, it means a quality that arouses emotions (especially pity or sorrow).","During the big game, the team had to ___ if they wanted to a quality that arouses emotions (especially pity or sorrow). Choices: [pathos, run, jump]"
17,patrician,n,a person of refined upbringing and manners,patrician,"upper-class, aristocrat, privileged, privileged, master, aristocratic",🔑 Remember: 'patrician' sounds like 'pat' and means a person of refined upbringing and manners.,"The word 'patrician' is a thing, it means a person of refined upbringing and manners.","Tom found a magic box that could ___ when he a person of refined upbringing and manners. Choices: [patrician, dance, eat]"
17,paucity,n,an insufficient quantity or number,"dearth, paucity","lack, insufficiency, inadequacy, shortage, hunger, shortage",🔑 Remember: 'paucity' sounds like 'pau' and means an insufficient quantity or number.,"The word 'paucity' is a thing, it means an insufficient quantity or number.","On a rainy day, Mia decided to ___ while she an insufficient quantity or number. Choices: [paucity, sleep, laugh]"
17,pensive,adj,deeply or seriously thoughtful,"brooding, broody, contemplative, meditative, musing, pensive, pondering, reflective, ruminative","meditative, thoughtful, illusory, contemplative, depressed, temperamental",🔑 Remember: 'pensive' sounds like 'pen' and means deeply or seriously thoughtful.,My dog is 'pensive' because it is deeply or seriously thoughtful.,"In the middle of the forest, animals love to ___ because they deeply or seriously thoughtful. Choices: [pensive, hide, sing]"
17,perceptible,adj,capable of being perceived by the mind or senses,perceptible,"noticeable, considerable, heard, understandable, obvious, recognizable",🔑 Remember: 'perceptible' sounds like 'per' and means capable of being perceived by the mind or senses.,My dog is 'perceptible' because it is capable of being perceived by the mind or senses.,"On a snowy day, Mia decided to ___ while she capable of being perceived by the mind or senses. Choices: [perceptible, sleep, laugh]"
17,perdition,n,(Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment,"Hell, perdition, Inferno, infernal region, nether region, pit","hell, everlasting punishment, netherworld, misfortune, hell",🔑 Remember: 'perdition' sounds like 'per' and means (Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment.,"The word 'perdition' is a thing, it means (Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment.","Tom found a magic box that could ___ when he (Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment. Choices: [perdition, dance, eat]"
17,peremptory,adj,offensively self-assured or given to exercising usually unwarranted power,"autocratic, bossy, dominating, high-and-mighty, magisterial, peremptory","authoritative, dictatorial, egotistic, domineering, authoritative, abrupt",🔑 Remember: 'peremptory' sounds like 'per' and means offensively self-assured or given to exercising usually unwarranted power.,My dog is 'peremptory' because it is offensively self-assured or given to exercising usually unwarranted power.,"Sara’s teacher asked the class to ___ to show they could offensively self-assured or given to exercising usually unwarranted power. Choices: [peremptory, draw, play]"
17,perfectionist,n,a person who is displeased by anything that does not meet very high standards,perfectionist,"stickler, detailed",🔑 Remember: 'perfectionist' sounds like 'per' and means a person who is displeased by anything that does not meet very high standards.,"The word 'perfectionist' is a thing, it means a person who is displeased by anything that does not meet very high standards.","In the middle of the forest, animals love to ___ because they a person who is displeased by anything that does not meet very high standards. Choices: [perfectionist, hide, sing]"
17,pernicious,adj,exceedingly harmful,"baneful, deadly, pernicious, pestilent","hurtful, menacing, injurious, disastrous, vicious, hateful",🔑 Remember: 'pernicious' sounds like 'per' and means exceedingly harmful.,My dog is 'pernicious' because it is exceedingly harmful.,"In the middle of the forest, animals love to ___ because they exceedingly harmful. Choices: [pernicious, hide, sing]"
17,personable,,,,,🔑 Remember: 'personable' sounds like 'per' and means nan.,'personable' means nan.,"During the big game, the team had to ___ if they wanted to nan. Choices: [personable, run, jump]"
17,pessimism,n,the feeling that things will turn out badly,pessimism,"unhappiness, desire to die, despondency, depression, bad attitude",🔑 Remember: 'pessimism' sounds like 'pes' and means the feeling that things will turn out badly.,"The word 'pessimism' is a thing, it means the feeling that things will turn out badly.","On a rainy day, Mia decided to ___ while she the feeling that things will turn out badly. Choices: [pessimism, sleep, laugh]"
17,pessimist,n,a person who expects the worst,pessimist,"doomsayer, person who spreads alarm, afraid person, nonbeliever, alarmist, spoilsport",🔑 Remember: 'pessimist' sounds like 'pes' and means a person who expects the worst.,"The word 'pessimist' is a thing, it means a person who expects the worst.","During the big game, the team had to ___ if they wanted to a person who expects the worst. Choices: [pessimist, run, jump]"
17,pestilence,n,a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal,"plague, pestilence, pest, pestis","epidemic, disease, malignancy, infection, adulteration, misfortune",🔑 Remember: 'pestilence' sounds like 'pes' and means a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal.,"The word 'pestilence' is a thing, it means a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal.","Sara’s teacher asked the class to ___ to show they could a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal. Choices: [pestilence, draw, play]"
17,philistine,n,a person who is uninterested in intellectual pursuits,"philistine, anti-intellectual, lowbrow","savage, savage, clod, insensitive, uncompromising, boor",🔑 Remember: 'philistine' sounds like 'phi' and means a person who is uninterested in intellectual pursuits.,"The word 'philistine' is a thing, it means a person who is uninterested in intellectual pursuits.","Sara’s teacher asked the class to ___ to show they could a person who is uninterested in intellectual pursuits. Choices: [philistine, draw, play]"
17,piecemeal,adv,a little bit at a time,"piecemeal, little by little, bit by bit, in stages","bit by bit, a little at a time, partial, broken, slowly, slowly",🔑 Remember: 'piecemeal' sounds like 'pie' and means a little bit at a time.,"He acted 'piecemeal', which means he acted a little bit at a time.","On a snowy day, Mia decided to ___ while she a little bit at a time. Choices: [piecemeal, sleep, laugh]"
17,pithy,adj,concise and full of meaning,"pithy, sententious","brief, short, sarcastic, brief, short, short",🔑 Remember: 'pithy' sounds like 'pit' and means concise and full of meaning.,My dog is 'pithy' because it is concise and full of meaning.,"Tom found a magic box that could ___ when he concise and full of meaning. Choices: [pithy, dance, eat]"
17,pliable,adj,susceptible to being led or directed,"fictile, pliable","adaptable, alterable, alterable, cooperative, submissive, flexible",🔑 Remember: 'pliable' sounds like 'pli' and means susceptible to being led or directed.,My dog is 'pliable' because it is susceptible to being led or directed.,"In the middle of the forest, animals love to ___ because they susceptible to being led or directed. Choices: [pliable, hide, sing]"
17,plumage,n,the light horny waterproof structure forming the external covering of birds,"feather, plume, plumage",clump,🔑 Remember: 'plumage' sounds like 'plu' and means the light horny waterproof structure forming the external covering of birds.,"The word 'plumage' is a thing, it means the light horny waterproof structure forming the external covering of birds.","In the middle of the forest, animals love to ___ because they the light horny waterproof structure forming the external covering of birds. Choices: [plumage, hide, sing]"
17,pluralistic,adj,of or relating to the philosophical doctrine of pluralism,,,🔑 Remember: 'pluralistic' sounds like 'plu' and means of or relating to the philosophical doctrine of pluralism.,My dog is 'pluralistic' because it is of or relating to the philosophical doctrine of pluralism.,"On a rainy day, Mia decided to ___ while she of or relating to the philosophical doctrine of pluralism. Choices: [pluralistic, sleep, laugh]"
17,polemic,n,a writer who argues in opposition to others (especially in theology),"polemicist, polemist, polemic","reasoning, debate, discussion, argument",🔑 Remember: 'polemic' sounds like 'pol' and means a writer who argues in opposition to others (especially in theology).,"The word 'polemic' is a thing, it means a writer who argues in opposition to others (especially in theology).","On a rainy day, Mia decided to ___ while she a writer who argues in opposition to others (especially in theology). Choices: [polemic, sleep, laugh]"
17,politicize,v,give a political character to,"politicize, politicise",,🔑 Remember: 'politicize' sounds like 'pol' and means give a political character to.,Every day we can 'politicize' when we give a political character to.,"In the middle of the forest, animals love to ___ because they give a political character to. Choices: [politicize, hide, sing]"
17,precipice,n,a very steep cliff,precipice,"face, overhang, crack, gap, crack, hazard, decline",🔑 Remember: 'precipice' sounds like 'pre' and means a very steep cliff.,"The word 'precipice' is a thing, it means a very steep cliff.","On a sunny day, Mia decided to ___ while she a very steep cliff. Choices: [precipice, sleep, laugh]"
17,precipitous,adj,done with very great haste and without due deliberation,"hasty, overhasty, precipitate, precipitant, precipitous","fast, steep, sudden, jagged, rushed, unthinking",🔑 Remember: 'precipitous' sounds like 'pre' and means done with very great haste and without due deliberation.,My dog is 'precipitous' because it is done with very great haste and without due deliberation.,"Tom found a magic box that could ___ when he done with very great haste and without due deliberation. Choices: [precipitous, dance, eat]"
17,precocious,adj,characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude),precocious,"smart, ahead, early, intelligent, sooner, early",🔑 Remember: 'precocious' sounds like 'pre' and means characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude).,My dog is 'precocious' because it is characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude).,"During the big game, the team had to ___ if they wanted to characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude). Choices: [precocious, run, jump]"
17,preeminent,adj,greatest in importance or degree or significance or achievement,"leading, preeminent","most important, principal, the four virtues in Greek philosophy, essential, controlling, main",🔑 Remember: 'preeminent' sounds like 'pre' and means greatest in importance or degree or significance or achievement.,My dog is 'preeminent' because it is greatest in importance or degree or significance or achievement.,"Tom found a magic box that could ___ when he greatest in importance or degree or significance or achievement. Choices: [preeminent, dance, eat]"
17,premonition,n,a feeling of evil to come,"foreboding, premonition, presentiment, boding","dream, expectation, readiness, fear, warning, intuition",🔑 Remember: 'premonition' sounds like 'pre' and means a feeling of evil to come.,"The word 'premonition' is a thing, it means a feeling of evil to come.","Tom found a magic box that could ___ when he a feeling of evil to come. Choices: [premonition, dance, eat]"
17,preposterous,adj,incongruous;inviting ridicule,"absurd, cockeyed, derisory, idiotic, laughable, ludicrous, nonsensical, preposterous, ridiculous","bizarre, ridiculous, insane, crooked, unrealistic, amusing",🔑 Remember: 'preposterous' sounds like 'pre' and means incongruous;inviting ridicule.,My dog is 'preposterous' because it is incongruous;inviting ridicule.,"Tom found a magic box that could ___ when he incongruous;inviting ridicule. Choices: [preposterous, dance, eat]"
17,presage,v,indicate by signs,"bode, portend, auspicate, prognosticate, omen, presage, betoken, foreshadow, augur, foretell, prefigure, forecast, predict","prediction, predict, predict, fear, predict, omen",🔑 Remember: 'presage' sounds like 'pre' and means indicate by signs.,Every day we can 'presage' when we indicate by signs.,"Tom found a magic box that could ___ when he indicate by signs. Choices: [presage, dance, eat]"
17,presumptive,adj,having a reasonable basis for belief or acceptance,presumptive,"person who expects to inherit, trustworthy, incidental, guessed, natural right, believed",🔑 Remember: 'presumptive' sounds like 'pre' and means having a reasonable basis for belief or acceptance.,My dog is 'presumptive' because it is having a reasonable basis for belief or acceptance.,"Tom found a magic box that could ___ when he having a reasonable basis for belief or acceptance. Choices: [presumptive, dance, eat]"
17,presumptuous,adj,excessively forward,"assumptive, assuming, presumptuous","self-confident, egotistic, arrogant, arrogant, arrogant, brazen",🔑 Remember: 'presumptuous' sounds like 'pre' and means excessively forward.,My dog is 'presumptuous' because it is excessively forward.,"On a sunny day, Mia decided to ___ while she excessively forward. Choices: [presumptuous, sleep, laugh]"
17,primeval,adj,having existed from the beginning; in an earliest or original stage or state,"aboriginal, primal, primeval, primaeval, primordial","ancient, native, old, out-of-date, beginning, earliest",🔑 Remember: 'primeval' sounds like 'pri' and means having existed from the beginning; in an earliest or original stage or state.,My dog is 'primeval' because it is having existed from the beginning; in an earliest or original stage or state.,"Tom found a magic box that could ___ when he having existed from the beginning; in an earliest or original stage or state. Choices: [primeval, dance, eat]"
17,prodigious,adj,so great in size or force or extent as to elicit awe,"colossal, prodigious, stupendous","huge, extraordinary, astonishing, deviating, huge, large",🔑 Remember: 'prodigious' sounds like 'pro' and means so great in size or force or extent as to elicit awe.,My dog is 'prodigious' because it is so great in size or force or extent as to elicit awe.,"On a rainy day, Mia decided to ___ while she so great in size or force or extent as to elicit awe. Choices: [prodigious, sleep, laugh]"
17,profiteer,v,"make an unreasonable profit, as on the sale of difficult to obtain goods",profiteer,newly rich,"🔑 Remember: 'profiteer' sounds like 'pro' and means make an unreasonable profit, as on the sale of difficult to obtain goods.","Every day we can 'profiteer' when we make an unreasonable profit, as on the sale of difficult to obtain goods.","Sara’s teacher asked the class to ___ to show they could make an unreasonable profit, as on the sale of difficult to obtain goods. Choices: [profiteer, draw, play]"
17,profusion,n,the property of being extremely abundant,"profusion, profuseness, richness, cornucopia","abundance, plentitude, blockage, overabundance, indulgence, flow",🔑 Remember: 'profusion' sounds like 'pro' and means the property of being extremely abundant.,"The word 'profusion' is a thing, it means the property of being extremely abundant.","During the big game, the team had to ___ if they wanted to the property of being extremely abundant. Choices: [profusion, run, jump]"
17,proletarian,n,a member of the working class (not necessarily employed),"proletarian, prole, worker","manual or technical laborer, poor, inferior, poor, lower- class, commoner",🔑 Remember: 'proletarian' sounds like 'pro' and means a member of the working class (not necessarily employed).,"The word 'proletarian' is a thing, it means a member of the working class (not necessarily employed).","In the middle of the forest, animals love to ___ because they a member of the working class (not necessarily employed). Choices: [proletarian, hide, sing]"
17,promontory,n,a natural elevation (especially a rocky one that juts out into the sea),"promontory, headland, head, foreland","headland, precipice, swelling, high ground, uprising, small hill",🔑 Remember: 'promontory' sounds like 'pro' and means a natural elevation (especially a rocky one that juts out into the sea).,"The word 'promontory' is a thing, it means a natural elevation (especially a rocky one that juts out into the sea).","During the big game, the team had to ___ if they wanted to a natural elevation (especially a rocky one that juts out into the sea). Choices: [promontory, run, jump]"
17,proscribe,v,command against,"forbid, prohibit, interdict, proscribe, veto, disallow, nix","condemn, forbid, expel, ban, ban, blame",🔑 Remember: 'proscribe' sounds like 'pro' and means command against.,Every day we can 'proscribe' when we command against.,"On a rainy day, Mia decided to ___ while she command against. Choices: [proscribe, sleep, laugh]"
17,pulverize,v,make into a powder by breaking up or cause to become dust,"powderize, powderise, powder, pulverize, pulverise","smash, destroy, assault, blacken, slam into, break",🔑 Remember: 'pulverize' sounds like 'pul' and means make into a powder by breaking up or cause to become dust.,Every day we can 'pulverize' when we make into a powder by breaking up or cause to become dust.,"On a rainy day, Mia decided to ___ while she make into a powder by breaking up or cause to become dust. Choices: [pulverize, sleep, laugh]"
17,pummel,v,"strike, usually with the fist","pummel, pommel, biff","beat, pommel, hit, strike, hit, criticize, scold","🔑 Remember: 'pummel' sounds like 'pum' and means strike, usually with the fist.","Every day we can 'pummel' when we strike, usually with the fist.","During the big game, the team had to ___ if they wanted to strike, usually with the fist. Choices: [pummel, run, jump]"
17,pungent,adj,,"pungent, acrid","flavored, barbed, bitter, bitter, fragrant, stinging",🔑 Remember: 'pungent' sounds like 'pun' and means nan.,My dog is 'pungent' because it is nan.,"During the big game, the team had to ___ if they wanted to nan. Choices: [pungent, run, jump]"
17,qualm,n,uneasiness about the fitness of an action,"scruple, qualm, misgiving","doubt, regret, morals, despair, doubt, questioning",🔑 Remember: 'qualm' sounds like 'qua' and means uneasiness about the fitness of an action.,"The word 'qualm' is a thing, it means uneasiness about the fitness of an action.","On a rainy day, Mia decided to ___ while she uneasiness about the fitness of an action. Choices: [qualm, sleep, laugh]"
17,quandary,n,a situation from which extrication is difficult especially an unpleasant or trying one,"predicament, quandary, plight","situation, equivocation, predicament, complicated situation, circumstance, danger",🔑 Remember: 'quandary' sounds like 'qua' and means a situation from which extrication is difficult especially an unpleasant or trying one.,"The word 'quandary' is a thing, it means a situation from which extrication is difficult especially an unpleasant or trying one.","Sara’s teacher asked the class to ___ to show they could a situation from which extrication is difficult especially an unpleasant or trying one. Choices: [quandary, draw, play]"
17,quantifiable,adj,capable of being quantified,quantifiable,determinable,🔑 Remember: 'quantifiable' sounds like 'qua' and means capable of being quantified.,My dog is 'quantifiable' because it is capable of being quantified.,"Tom found a magic box that could ___ when he capable of being quantified. Choices: [quantifiable, dance, eat]"
17,quiescent,adj,not active or activated,quiescent,"inactive, peaceful, sleeping, inactive, fixed, fixed",🔑 Remember: 'quiescent' sounds like 'qui' and means not active or activated.,My dog is 'quiescent' because it is not active or activated.,"In the middle of the forest, animals love to ___ because they not active or activated. Choices: [quiescent, hide, sing]"
